text,label
Honest Brew,4
Love this product.,5
Okay but not Cake Mate,3
Cans dented and leaking,1
Pros and cons...,2
Consumer,5
Soothing for those with IBS,4
loved building with my 2 year old!,4
Great,5
Great dinner but horrible price!,3
My hair feels great,5
Great crunchy snack,4
tastes disgusting,1
YOU SHOULD BE ASHAMED,1
Girmi Yogut Starter Packets,3
"Moderately tasty, gluten free",3
"ok, but not bold enough for me",3
"Not the strongest, but quite good",4
Damp Sticky clumps in some packs,2
Really good!,5
Need some cream and sugar,3
this is Jerky?,1
it's a sugar bomb,1
Not a balanced meal -,3
Works out fine,3
not fresh enough,2
Too salty...,3
Good? You CAN'T be serious,1
Spicy Thai,4
Interesting taste,3
Too sweet and waxy,3
ITS A LITTLE DARK FOR ME,3
dingos,2
My dog isnt into these.,2
Way better than Starbucks,4
A good deal for health food,4
Not what expected,2
Glutino Pretzel Twists,5
A great hard to find cereal offline,4
Join the Chub Club,3
Great Product Company Makes a Good (Not Great) Cola,3
Gone down hill,1
Over priced and old,1
My cats wouldn't touch it.,2
"Best Folgers Coffee, Too Bad They Discontinued...and price is now crazy!!",4
Cinnamony,4
Yummy- a bit pricey though,4
Very Refreshing,5
Good product; recent problems with packaging,4
"Great nutrition, but my cat won't eat it.",2
Nice and Spicy,4
Helps make the protein go down,4
Fantastic Pumpkin Seeds,5
"Price, jeeze.",2
Not exactly all natural,3
Happily Impressed,5
NOTHING LIKE THE ORIGINAL.,1
Just OK,2
Yummy.,5
Not worth the money,3
...Little thin but tastes great!,5
LOVE these IF they're fresh!,4
Yum!!!,5
Yummy!,5
Smart and Final,1
jojo,4
Know your fly types & seasons,3
"Much, much too expensive!!",4
Good Soy Sauce.,4
good idea in theory,3
I didn't care too much for it :(,2
Not as strong as previous orders,1
"Finally, a great pizza crust!",5
BAY'S ARE THE BEST !,5
pleasantly suprised,4
"Quick, easy and tastes great",4
Wasn't worth it.,2
BEST NUTS AROUND,5
An ok salt,3
Great quick morning tea,4
Can I just say Yum?,5
Pretty good!,4
Not my cup of tea,1
Inconsistancy,1
Espresso?,2
Last batch Amazon sent arrived with gummies melted & way too soft,2
Broke the first time I used it,1
Delicious and Convenient,4
Ellie loves these,5
"Tasty and no wheat, but contain soy and palm and canola oils",3
almond milk,4
Bad probe design.....,2
Not a big fan of these,2
Makes Ande's Mints look like gourmet chocolate,1
Costly hypoallergenic diet,4
"Smaller-than-usual package size, overly-sweet taste",3
Cheap and Delicious!,5
Prime? NOT,2
"NOT  %100 organic.... Per the box, they are %70 organic.",3
its a refill,5
don't buy this unless you miss Sanka,1
"Mixed results, and some tips",3
Mellow and fruity!!,4
Not Gluten Free??!,1
An average microwave meal,3
Too crunchy!,2
Not as tasty as I thought it would be,2
"Good at first, but quickly became overbearing for me",2
Fantastic for when you bring home newborn baby,5
Addictive and Tasty,5
"Tasty, BUT....",4
"if you're not going to make it from scratch, try this....",4
I liked it at first...,2
Causes my son to spit up,2
You will eat the whole box.,5
Undecided,3
Not as good as mini sour crawlers,2
"Old, Stale Chocolate",1
Organically incorrect,2
LOVE,5
Above average,4
Benecol Chews,1
Too much for too little,2
"Worst ""fruit"" roll ever!",1
Buyer Beware: not a 12 pack,3
"OK, if you're not thinking pancake",2
Very sweet & a little misleading,3
"Super yummy, but I've found it priced better elsewhere.",5
So/so effort from the Newman's Own brand...,3
I should have read more carefully,3
Aftertaste kills what could otherwise be good,2
Very Tasty,5
"Trendy, but not the best stevia",2
great alternative for coffee drinkers,4
Go with Accelerade,2
Disappointed,1
Low Fat does not equal Low CARB,1
Disappointed in texture,3
Mystified by positive reviews,1
"Great taste and convenience, questionable ingredients",3
Nasty,1
Potentially messy but my dog loves it.,3
tasteless...,2
Yummy but pricey...,3
Not Trackless,1
A bit too strong for me,4
AWFUL THE 1 START IS A MISTAKE,1
BC Mini Choc cake,3
salt of the earth,5
good coffee candy!!,5
Good tasting chips,5
Yum.  Goodbye Crisco!,5
"Good dog treats, but make sure to monitor eating of them.",4
Boring,1
Too salty and dry!,1
Too expensive and too much fat/oil !!!,2
No longer at Costco,5
Item pictured is no longer made,2
Watch for the Price!,4
recommend!,5
Food poisoning,1
Refreshingly delicious!,5
Made in China,3
great tea,4
"I wanted to like this, but couldn't",2
Great for my Miniature Schnauzer,5
Delicious -- but definitely unexpected!,4
Good bold morning flavor,4
gluten free good,4
always a happy transaction,5
Works like a champ,5
aero or chocolite?,2
Salty Soup,2
"Quality English Breakfast, the way it is meant to be enjoyed",5
vanilla too overpowering for me,3
This is the foulest Tea ever,1
Great Organic Fair Trade Vanilla,5
Best sour cream & onion chip I've had,4
Not for me,2
"My dog enjoys these, but they can be a bit crumbly",3
"Good tasting, high protein snack!",4
Disappointed me -- not much blue cheese,3
not real sesame paste,2
SALTY!,2
Shouldn't be a veggie substitute,4
It's meh-y...,3
"Weak, no flavor",1
Awesome brown sugar substitute,5
YUCK!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
"Fishy, smelly and greasy",1
Doesn't work as I'd hoped,2
Doggie chow,2
Just OK,3
great product!,5
Tasty by short-lived,2
I would pass,3
"Tasty, and sweet",4
Not so good,2
"""Organic Flavor""?",2
"This tastes like CINNAMON OIL, not a traditional chai blend",1
Better and cheaper than Starbucks VIA,5
moms (and dads) beware of plastic in the food,1
Chicken Seasoning,4
Maybe it was just my batch?,2
Not my best choice,3
lasts about 10 min.,3
Great Stuff!,5
I Love Sage Tea!,5
Wonderful!,5
"wonderful value, very prompt delivery",5
"Tough, gummy and where's the pleasant Aroma?",1
nice organic Assam,3
Pay attention to shipping price!!!!,2
Good Cashews But..,3
One dog likes one doesnt,3
uniquely unpalatable,1
Cats love it; I hate the pouches.,4
Breakfast Blend - Nothing Special,2
THIS IS ONLY 7 OUNCES!!!!!,1
Strong Tea!,2
Delicious Coffee!!!,5
Finger lickin' good!,5
No Techno Color for my Bears :(,3
Delicious Glaze,5
don't bother,1
The only thing all my cats will eat!,5
"Good cherries, poor packaging",2
might makes a nice furniture polish,1
"Five out of six cats say ""Yummy!""",4
"Disappointingly bad, Stick with Ohs!",2
Cafe Vienna,5
gave my puppy the runs,1
Simply WIld Chick & Brown RIce for Cats,5
"Good, robust coffee",3
Junk food,2
"I agree with the previous reviewer, the name is deceptive.",2
Excellent product when used properly,5
Good Tea!,5
Good little snack!,4
Misled,2
Taste is not good.,2
Chocolate showed evidence of sitting in the heat for too long,2
Incorrect information listed.,2
Smooooooth,4
I really wanted to love this for our boy,2
WOW!!!,5
Good coffee bad packaging,3
"We'll never go back to ""baked""!",4
coffee people black tiger dark roast k cups,3
"Hibiscus Rosehip Tea,... With a Little Blackberry and Vanilla Flavoring",3
Mehmet Efendi Turkish coffee is what i was looking for !!,4
"New cardboard packaging, same great flavors",4
Not Tasty for my Dog,2
"Sadly, one of the only sources of fruit my son will eat!",5
CESAR GOOD DEAL,4
"""Lightly sweet""???",2
Not for all types,1
Great as a creamer or added chocolate flavoring,4
mild but weak,3
Picky 10 month old loved!,5
Not great but not awful,3
Over-herbed,3
Not impressed by this tea,2
very disappointed,3
WOW!!! Our family loves our AreoGrow Garden!!,5
Makes a good iced coffee,4
"""Food Should Taste Good..."" Really?",1
Not even real orange bitters,1
Taste kind of strange....,3
Uncle Ben Cornbread Dressing,5
Yuck,2
Stale,1
Larabar Key Lime Pie,5
THIS JERKY IS A TURKEY,2
WOW! Houseplants!,4
How can I get the lumps out?,2
Artificial Sweeteners Turn Me Off,3
wish I could,3
Weird taste bad smell,2
Smooth organic chocolate with a semi-sweet taste,5
Hubby LOVES it!,5
NOT the actual pink himalayan salt!!,1
More Creme Brulee Flavor for me,3
Pretty good,3
Another tasty soup ...,5
So Watery,1
Not coffee,2
Nasty,1
"love these, but what's with the rippoff price?",3
Thai Coconut Ginger Soup,5
thickness consistency problem resolved,5
Not happy,1
It's just ok,3
not good,1
"good, but expensive for quantity",4
great griinder,5
transfat alert,3
Yummy,5
"Watery, bland coffee",1
Decent coffe but not for the stronger coffee lovers.,3
Pretty good with a little help...,4
Tasty and fairly healthy,4
Good enough,3
Vile Tasting,1
Great Quality for the Price,5
Whatever this tastes like it isn't a chocolate chip cookie,2
Better than the rest,4
STILL TASTE TWO SALTY,3
Overpriced,1
Blue Buffalo Dry Food for Large Breed Senor Dogs,5
Decent,3
No longer drinkable,1
Strange chewy-crunchy texture,3
Not all that,3
Not TOO Bad,3
A little pricey,3
My Baby's Addicted,5
Something strange,3
"ok, not great",3
MangoLicious,5
Better Living Through Chemistry?,2
Expensive,1
Perfect for Small Dogs,5
wish I could like this!,3
"Odd, cinnamon taste",2
Both good and bad results,3
NOT COFFEE...,3
Item stated 2 only received 1,2
Weak,2
Smells and looks like cat food,1
was sent incorrect item-in correct box,1
False Advertisement,1
Holiday Latte,3
Just what my cat needed,5
Poor description of the product,1
Horrible!,1
Hodgson Mill Couscous,2
Chocolate mint tea,3
senseo espresso coffee pods,5
Ideal Tea for Tealovers.,5
Horrible taste!!,2
Decent wine,4
Hawaiian sweet bread,2
"Tangy, Convenient, AND It's Healthy",4
"Great taste, but like the others too much sodium!",4
Bitter w/ overtones of cardboard,2
Not Just For Hot Dogs,4
Yuck,1
It's water,4
yuk,1
My dog is not a fan.,2
Not quite as good as store bought,4
Ordering in bulk is not the best way to try this product.,1
gravy mix,4
Yea! We found a coffee...,5
Excellent product!,5
huge letdown,2
Taste Really Bad - better brands out there,1
Cafe D'Vita Pumpkin Spice Cappuccini,1
"Very Good, Too Tart For Some",4
Not the best....,3
My Order Experience,3
"great baby food, fast and easy to prepare",5
The very best green tea!,5
Love spritzers,4
Decent chewy candy...but rancid nuts,1
Not the Protein chips I ordered,2
Lasts longer than most,4
In like a lion out like a lamb.,2
Tastes great!,4
"way too sour, too!",2
"Low fat, high fiber meal replacement bar",3
"Gaaak!  An ""extreme"" potato chip...!",3
Almost what I wanted,4
texture and taste inconsistant,3
"Crispy outer, but the filling is too sweet and sticky",3
My dog loves it,4
Wonderful taste!,5
only one fruitfly stuck,1
Weird flavors....,1
"a dark chocolate lovers' delight, a blueberry lover's disappointment",4
Hot!,3
Coffee,2
"Caution, if you don't want a pocket full of powder!",2
Bad Coffee!,1
dog treats,3
little bit of chips for a lot of money,3
"Look pretty, but wasn't impressed by flavor",2
Celestial Half and Half lemonade tea for Keurig brewers.,2
"no, thanks",2
didn't do a thing,2
Good Steaks.,3
Hikari miso soup,3
Very practical,5
"Not A Good Flavor, But Good Against Bad Breath",2
"Great taste for a picky baby, but very thin compared to others",4
I Love my Keurig and flavored samples.. But a variety !!!!,4
"Chicken-in-a-can, not bad at all",4
bad diarrhea,2
Great flavor enhancer!,5
so convenient and cute,5
Worth it for me,4
Tasty Bag of Taffy,4
Great tasting protein,4
Delicious,4
Great treats!,5
Pretty good.,3
Terrible taste with few nutritional benefits,2
Distinct Cherry Flavor -a little tough,4
Not a favorite at our doghouse,3
"Tasty, but not tart enough",3
Dirty Sue,4
Pearl Couscous,3
I love this stuff!,5
Ew,2
$52 for 4 boxes????,1
"Better than many other dog snacks,but still too many chemicals & filler",3
My cats LOVE Natural Value,5
"Taste great, but way overpriced for the size and ingredients.",2
"Good product, lousy protection",2
I modified the recipe a little,4
Excellent Cookies,5
"Better than Enfamil, but not quite the perfect formula for my baby",3
Make sure they're not expired!,1
Beware!!,1
Lemonade cookies,1
Nice cup of tea!,5
"Not ""healthy""",2
"Sour, though it was stale",1
Beware this shampoo made me light headed and dizzy,1
One of the best dog food out there.,5
Warning! Product of China. FDA warning!,1
I would buy this again,4
Incredible Crackers!,5
Very fishy...too fishy,2
Good Basic Coffee,4
Artificial sweetener spoils the taste,2
A very tasty chip!,5
It's Just OK...,2
"It's water, with a metallic aftertaste.",3
"seem old, not worth it",1
"I LOVE these, but don't buy them here: they're too expensive",3
So disappointing!,1
Light & Fluffy Good for You Rice,5
"Great deal on the best ""odorless"" and long-lasting bully sticks we've tried yet!",5
Onion soup mix...,4
Tasty,4
dog-gone good,4
Good stuff!,4
Bland,3
Earl Grey should not contain lavender,1
average tea,2
Humm...Not Yumm,2
can be used espresso and regular drip,4
Cheddar-ish,2
NOT a premium dog food!,1
Rancidity nearly knocked me off my feet and activated gag reflex,2
Banana chips,3
Didn't work for me,1
BlueBerry,2
Spoiled upon arrival...not good,2
My dog threw up seven times after eating this.,1
Does not taste good and does not dissolve well,2
Yuck,2
Chemical Aftertaste! Blech....,1
great flavor,5
Good... If your cat will actually eat it.,2
Crown Prince Sardines are the ambrosia of the gods! But...,4
Hot Hot Hot,5
Good snack,4
Sage tea definitely promotes a good night's sleep.,4
Very delicious,5
Gross. Daughter won't eat it. Neither would I.,1
"great value, good taste",4
What Kona,1
"Ecellent Vegan Gluten Free Cookies, No Tummy Aches",3
PASS THIS ONE BY,2
Excellent Dog Food,5
It's hard to please her.,3
Good...a little different...and very salty,4
Coffee,5
"Mmmmmm,good!",5
finicky cooking,3
Bamboo bonsai,3
cat food,5
Taste good - but not as good at Weight Watchers Brand,2
Very good Halvah,4
"Okay, not horrible, not great",3
"Great value, big boxes.",5
should have known better,1
Something for the super chewy dog,3
Good mustard - Bad deal!,3
Great product and BPA-FREE!,5
I love this tea!,5
Great tea to drink in the evening.  Best price I've found.,3
don't want natural flavors in organic coconut water!,1
I love the Good Bean!,5
Just ok to me,3
Very bitter and should be packaged in a can,2
Mom's Review,5
Earl Grey - er??,4
My Dog LOVES These!,5
An Adequate Cup of Coffee,3
"I really wanted to like this, but I can't",2
A Better Choice,4
"lumpy, boogery consistency",2
So far it's been terrible corporate support,3
Not at all reliable,1
Pancake Syrup,4
"Cute, but had scratches.",3
"Great idea, but I was left disappointed.",2
DO NOT BUY,1
Awesome organic all-in-one meal!,5
great stuff!,4
"Nice idea, didn't work for us",3
Delicious low fat treat.,5
Worst Drink Mix Ever,1
"Amazing with smoothies , protein shakes",5
These are the small gumballs ...,1
I loved Everything until I got SICK!,1
"False advertising of the base, a mess to clean up after shipping, no instructions",3
Tastes just like a Bit 'O Honey!,4
Just OK,3
Excellent!,5
Doesn't Taste Like French Roast,3
Unhealthy... Look at the Ingredients,1
seren,4
"It's not butter, it's margarine",1
yummy,5
I'll pass...,3
decent but not my favorite,3
Great on taste,3
Turkey and Chicken Formula smells like fish,3
Taste vs. Price,4
Stinky,2
Orange Chicken Lacks Orange,2
not good for chewers,3
good but not packaged well,3
too hot,2
Tastes great and perfect if you can eat just one,4
small company and excellent product,5
Close to the best we can get at home!,5
no matter how well packed....,2
Something has changed...,1
Great coffee: poor packaging,3
Good but,3
"Okay, but no cigar...",3
Luv this cereal,4
Pretty intense,4
Beware - dusty and stale,1
Not what I expected,3
Higgins Green Tea,4
M&M's PEANUT CANDY 19.2-OUNCE(PACK OF 4),5
A little stale...but I'll give them another chance,3
PRICE INCREASE-NO LONGER A GREAT DEAL,3
Have Something Real Instead,2
"Good value, easy to use, nice selection",4
A little much for one serving,5
soupy,3
The Only Tea I'll Drink,5
Not terrible but I won't purchase again,3
The best cookies around!!!,5
Delicious,5
met the need....,4
Wish I could say it was better,2
Helped with my baby's food allergies,5
Buyer Beware - Potential Choking Hazard,1
